 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês processamento
Caráter atendimento: Urgência
Período:Jan/2008-Ago/2020
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"50 Mato Grosso do Sul";4610775,45;6186591,71;7266712,28;8038134,59;8919726,09;10099567,93;9248518,40;8556859,64;8827343,18;8329506,90;8322752,04;7367185,13;9023061,35;9892245,32;9857754,32;10001250,42;11025605,89;11174161,42;11025276,50;10008928,54;10851943,89;10507112,56;9334985,63;9391457,69;11187664,58;10423585,21;11047526,29;10712181,45;11085165,49;10976403,08;10871341,27;11201542,01;11367540,71;11312644,80;11233460,56;10983801,18;10157865,54;8768682,19;12546050,51;11727606,29;11545398,73;11573805,45;11188984,49;10907880,84;12683627,30;9636838,85;11751814,55;11986919,33;10324369,27;9551412,59;11001010,76;11259311,85;11045629,45;11655733,54;12073471,97;12006290,35;12682393,48;10931444,22;11684384,27;11768271,39;11826839,06;12365464,22;11672464,94;11012841,92;12732689,95;12626006,46;14131121,95;12823046,03;12312641,35;13008490,95;12321673,74;11909757,14;12909907,76;13171363,51;12725158,70;12488817,61;13326912,96;12219930,79;12806793,05;13583512,65;12684747,79;12393118,90;12291244,94;12171670,81;12798994,87;13598223,42;14277324,00;12647394,43;14612670,08;13564215,34;13365168,59;13731069,88;13911078,74;12945601,34;12557928,89;13083841,91;14511695,65;14033081,32;13934779,15;13794976,68;13980125,50;13591564,34;14039851,51;14695284,67;13944663,86;13484360,76;13499445,39;13821760,73;13896913,64;12886340,15;15677711,13;13219670,77;14831445,64;13569843,59;14782329,76;14944040,64;14863367,04;13246169,53;14441267,10;12986909,01;14665556,22;16412939,19;14323844,41;14367522,51;15322193,36;14840491,40;14335887,60;13891377,78;14403618,71;13684246,79;13832996,73;13374572,68;14696584,31;15245435,95;14261126,83;15507388,21;15098887,91;15374174,90;16844337,73;16049197,80;16490322,48;15985643,72;14342833,05;14935580,02;15778194,17;16213336,05;16318296,34;15863360,93;16556404,70;16037346,50;17402497,04;18389986,67;1910863019,63
"51 Mato Grosso";4238037,90;7295839,52;7264677,66;8003607,71;8281183,38;9094559,00;8200472,15;8307359,64;8392827,72;8195276,62;6074570,72;9197447,32;8341109,62;8372348,43;10224474,86;9685100,46;10139607,49;9754728,61;9536391,25;9831515,74;8914101,84;9725309,01;9693810,32;9042547,57;10493162,84;9680774,38;9700977,80;9937206,55;9989114,76;9133018,76;10814202,13;10280920,88;10151961,14;9919631,34;9572593,68;8867137,79;10052854,49;9271515,61;10378168,30;10538682,04;9380323,64;9208704,55;9820177,72;8026931,53;10340859,05;10142619,55;10170303,11;9325298,46;8922343,43;9204276,14;10308899,50;10752534,44;10422527,76;11320320,89;10511647,10;11180911,56;11019752,19;10304484,88;10748534,49;10417705,52;10559667,39;10305956,90;10886925,92;10444688,98;10851331,12;11850773,73;10786838,23;11803840,83;10898050,49;10654716,36;12179564,66;11553838,51;10724885,39;10849923,95;10981556,82;11277189,79;10998107,67;10939557,71;11534427,55;11060887,84;10275806,55;10002004,14;11149449,37;10086317,73;10178628,57;10429675,68;10931469,52;11227248,74;11488409,80;12013472,43;12191358,51;11485507,00;11923067,18;11600644,28;11730205,66;11235828,13;11436833,76;11206740,66;12215977,40;11975484,73;12834105,93;12535720,30;11997680,96;12131191,44;12084472,57;12165408,86;12332977,22;10930433,81;11471316,46;11438927,55;11492645,17;12381157,01;13251424,55;12340359,17;12578745,05;12460347,39;12051737,76;12334688,04;11742972,77;11668073,53;13538789,47;11547892,28;13265384,52;12734443,71;12589727,62;12761694,45;12887801,20;11709468,39;12018591,27;12288750,41;11506451,24;11017627,47;11567345,66;11539704,45;12341747,01;12572270,55;13075766,84;13650387,59;13196962,14;13408536,62;12949679,53;13264608,09;13005540,60;12710983,19;12928397,56;13055558,70;12883980,02;11220491,84;12057880,40;11564783,26;13471665,33;14602928,60;1657205067,77
"52 Goiás";13353614,03;19807037,26;19450374,89;19069204,92;19582035,09;16451553,02;17980994,85;18198149,33;18415681,00;18316538,56;15044605,76;19456796,02;18764070,92;20525035,39;20646627,85;20751694,95;21224847,72;21557247,00;21257712,79;20726242,61;21814987,06;21476061,67;20537812,36;21521655,24;20716159,24;20201767,26;21335457,55;20622766,45;20944412,59;21316289,74;21580867,64;22515927,91;22528231,33;21280332,94;21672227,18;21134318,72;21669545,60;21983573,70;24318569,94;23565462,31;23100269,63;22422702,23;22923885,61;23308821,33;24573599,19;22862393,10;23193634,94;22381155,00;22724008,26;23599537,71;24196021,63;23153859,59;24144111,92;24105955,69;23868487,80;23030510,12;22846806,22;22612479,53;23839956,08;21803367,11;22992677,24;22886096,57;22367665,43;26606302,62;26558916,15;24064721,81;24751769,71;24904819,38;24506905,43;23295164,59;25488274,69;23179967,80;24820792,48;23432284,90;23280735,75;24495736,94;25604482,31;24353667,64;25567053,87;24848239,36;24183839,27;27615584,70;24220541,79;24875340,04;25015559,23;23470969,59;26829649,27;26848654,56;26024215,74;25548723,29;26083917,98;25719259,20;25995434,62;26099808,82;27072731,22;25489579,03;25435512,10;25893401,07;26786709,65;26356317,80;24888959,96;27298478,93;24467380,84;27982697,84;25972914,88;24984629,13;24757325,25;25729328,56;24860818,86;24695472,67;26258192,04;27379298,21;27383053,59;27030822,31;26393223,79;26350279,29;26938050,26;25999350,81;26530372,98;25961296,58;25959581,66;23791240,38;28672478,47;26088867,01;25921161,85;27966861,42;27609232,89;26730625,44;27017885,95;27451782,45;25378824,31;27275742,32;28183182,51;26346790,85;28956788,52;28153861,58;29778086,00;29086607,87;29354040,11;29298336,72;29346531,21;29171944,12;27737009,86;27587328,13;29153104,72;27425315,25;27758340,78;26558385,40;28971443,26;30526732,08;34674221,90;38292905,96;3709667264,48
"53 Distrito Federal";3595855,70;5814016,00;7674323,94;8032281,66;9326808,98;9296455,01;9253919,23;9829387,76;9302504,91;9943608,53;7435531,97;10311054,83;8796927,72;7094015,52;10273086,54;9684189,17;11382981,31;12154867,73;10640560,95;10891382,66;10805129,00;11108142,77;10595110,17;9536572,31;11270876,71;10204466,59;11765658,58;11180582,96;10860565,11;10069210,24;10437131,73;11290067,66;10257724,37;10291121,39;10591879,77;10948112,96;10654376,52;9451124,80;10294910,84;12691396,40;12218895,64;10422974,01;11458591,48;9647704,37;10344846,55;12052434,52;9746357,66;10046570,11;12292430,14;11913098,32;11989921,19;12504466,24;11893416,08;11512545,68;12932065,20;11978265,50;10600209,98;11521706,05;10900238,60;10403102,78;11071002,05;13804941,60;13657585,37;12927445,60;13937803,02;11453666,65;13817849,78;14402312,01;12392962,21;11975592,59;12077282,38;9733900,15;12984664,45;11818615,03;12632397,12;11127345,88;14062048,46;13247819,45;14076633,87;14632563,75;12097617,99;12459720,45;10990966,99;10196508,19;10752537,05;9404740,19;12787004,41;13282159,46;12327022,04;12691089,75;13365876,66;11998165,25;12702706,16;9880725,84;12130196,07;11991594,57;12146567,19;10800490,46;13776188,42;14092971,05;14955489,91;14817839,72;13094448,77;15246801,84;11467343,46;13193975,93;14652112,45;14431548,38;14470186,30;13428161,75;15087067,43;13091163,69;12099227,89;11090791,98;11347984,45;12411798,04;14400362,06;13572415,39;14029859,94;13188862,44;13770438,59;14404899,99;16376464,76;15733148,66;16001656,24;16373125,97;18469194,60;18766117,86;16779487,22;15273707,58;13524631,54;11284787,82;17233345,30;15578220,94;18210634,27;15128181,85;16365081,83;16651897,14;18766012,47;19202265,15;14455912,97;14510304,85;16525290,82;15781970,38;18989864,18;17429828,41;19657796,64;18487499,78;16754237,63;20502570,28;23208074,51;24312223,95;1931713356,71
"Total";301784038,15;441739353,15;490325564,77;511642005,81;532521532,68;557158013,60;562788806,32;555936256,69;554865955,57;541444620,62;484799799,90;571782494,71;570765446,15;568173843,22;627923213,93;617749752,21;646790498,98;636035683,68;650845749,29;655129164,18;650159762,80;646059000,21;641122045,21;619882760,41;646107044,11;608095988,62;660367830,89;671825868,47;673782247,09;662973637,36;677439617,10;688298121,52;668918476,41;666312206,21;685422422,32;673528405,99;672477875,31;656265610,71;697369987,87;702536416,31;703676019,43;696415520,26;725600560,54;700966306,56;710008102,88;711740154,19;698829483,82;691515243,16;690503802,02;678940936,78;743802493,79;716761753,56;750975854,63;746630330,82;756941013,92;757614781,56;724534026,99;725390040,07;711591222,31;672978308,81;731006562,15;710940650,49;744751809,92;776440693,87;794361754,57;759530748,32;798640950,68;799415547,26;779922555,94;789996274,43;756142923,38;741220764,60;786806465,97;755412899,76;770233128,63;770925803,73;829071573,12;797130434,42;842668096,11;837710185,45;824348973,47;832031949,22;795767665,80;769090797,01;810971090,07;778902255,34;825800446,09;832689880,73;846798348,97;853130877,35;872621174,56;861656912,05;853813075,78;838042146,83;826390195,18;812229248,31;821436790,21;819040312,17;859893800,12;855749986,20;872780762,14;886433493,68;884361976,13;902136883,48;858633267,41;852813866,65;836527655,24;853065162,14;856494784,93;816345255,62;909680480,21;869346955,02;937986960,93;900203411,35;925554663,86;925324109,84;907770768,38;913521774,49;896841906,16;878285011,83;910512120,01;867039455,49;918416526,67;925003026,86;947699610,69;938003393,53;958673337,07;960868648,07;926025798,49;935784733,49;900099058,67;882622830,51;969400214,51;899273201,11;945124885,88;952148047,27;991066994,93;951197824,45;990642832,13;995886674,15;966714707,00;996383555,89;945380024,25;933420502,97;992615819,28;949631928,37;959578020,22;874645464,40;967762382,53;1047915512,42;1215368154,96;1221866691,78;119348179950,43
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
