,datahora,nome_drs,pacientes_uti_mm7d,total_covid_uti_mm7d,ocupacao_leitos,pop,leitos_pc,internacoes_7d,internacoes_7d_l,internacoes_7v7
81,12/10/2020,DRS 10 Piracicaba,78.29,241.71,32.39,1539600.0,15.7,163.0,186.0,-12.37
82,12/10/2020,DRS 11 Presidente Prudente,50.29,78.29,64.24,752260.0,10.41,175.0,165.0,6.06
83,12/10/2020,DRS 12 Registro,11.71,39.0,30.03,278754.0,13.99,32.0,42.0,-23.81
84,12/10/2020,DRS 13 Ribeirão Preto,151.43,308.14,49.14,1477530.0,20.86,404.0,392.0,3.06
85,12/10/2020,DRS 14 São João da Boa Vista,52.57,127.0,41.39,809836.0,15.68,137.0,122.0,12.3
86,12/10/2020,DRS 15 São José do Rio Preto,256.57,442.71,57.95,1570421.0,28.19,660.0,654.0,0.92
87,12/10/2020,DRS 16 Sorocaba,110.14,232.71,47.33,2461760.0,9.45,223.0,286.0,-22.03
88,12/10/2020,DRS 17 Taubaté,148.43,428.71,34.62,2489629.0,17.22,336.0,376.0,-10.64
89,12/10/2020,Estado de São Paulo,3647.0,8552.57,42.64,44639899.0,19.16,8054.0,8275.0,-2.67
90,13/10/2020,DRS 01 Grande São Paulo,1972.86,4732.57,41.69,21138247.0,22.39,3870.0,4205.0,-7.97
91,13/10/2020,DRS 02 Araçatuba,62.0,120.14,51.61,764041.0,15.72,140.0,128.0,9.38
92,13/10/2020,DRS 03 Araraquara,46.43,123.57,37.57,991435.0,12.46,247.0,229.0,7.86
93,13/10/2020,DRS 04 Baixada Santista,106.0,410.71,25.81,1831884.0,22.42,207.0,188.0,10.11
94,13/10/2020,DRS 05 Barretos,55.86,91.0,61.38,425090.0,21.41,140.0,186.0,-24.73
95,13/10/2020,DRS 06 Bauru,151.29,229.14,66.03,1741281.0,13.16,316.0,364.0,-13.19
96,13/10/2020,DRS 07 Campinas,252.86,658.29,38.41,4562125.0,14.43,490.0,584.0,-16.1
97,13/10/2020,DRS 08 Franca,53.57,110.0,48.7,696336.0,15.8,120.0,127.0,-5.51
98,13/10/2020,DRS 09 Marília,63.14,160.86,39.25,1109670.0,14.5,185.0,175.0,5.71
99,13/10/2020,DRS 10 Piracicaba,76.29,240.86,31.67,1539600.0,15.64,150.0,193.0,-22.28
100,13/10/2020,DRS 11 Presidente Prudente,49.43,78.14,63.26,752260.0,10.39,163.0,162.0,0.62
101,13/10/2020,DRS 12 Registro,11.86,39.0,30.41,278754.0,13.99,30.0,43.0,-30.23
102,13/10/2020,DRS 13 Ribeirão Preto,145.57,306.57,47.48,1477530.0,20.75,381.0,409.0,-6.85
103,13/10/2020,DRS 14 São João da Boa Vista,50.57,127.43,39.68,809836.0,15.74,133.0,130.0,2.31
104,13/10/2020,DRS 15 São José do Rio Preto,251.57,442.57,56.84,1570421.0,28.18,637.0,654.0,-2.6
105,13/10/2020,DRS 16 Sorocaba,111.43,231.86,48.06,2461760.0,9.42,230.0,260.0,-11.54
106,13/10/2020,DRS 17 Taubaté,148.86,422.14,35.26,2489629.0,16.96,326.0,388.0,-15.98
